gene_id,Ht_1,Ht_2,Ht_3,St_1,St_2,St_3
ENSAPEG00000005706.1,32.1165,12.7636,26.3422,10.2363,20.7381,20.5885
ENSAPEG00000005707.1,6.20197,12.4674,9.49183,0,11.5384,9.19825
ENSAPEG00000005708.1,3.12038,3.5576,3.96364,14.1256,3.30811,3.2319910000000003
ENSAPEG00000005709.1,0.490944,0.72405,1.02085,2.17374,0.637675,0.930562
ENSAPEG00000005710.1,3.73566,2.50689,4.03737,1.98434,3.36239,3.05837
ENSAPEG00000005711.1,7.99428,9.50523,4.44104,0,9.79549,11.8057
ENSAPEG00000005712.1,25.3536,28.0248,24.8637,17.4985,24.0547,24.4075
ENSAPEG00000005713.1,20.23442,13.376270000000002,14.0641011398303,16.534959999999998,23.091842,18.60733
ENSAPEG00000005714.1,15.43097,7.98642,9.90634,9.76655,11.38635,14.278509999999999
ENSAPEG00000005715.1,6.42385,3.63141,4.74509,9.54292,4.63063,6.05586
